id,econmon,type,tag,diagram,prompt_en,prompt_zh,options_en,options_zh,items_en,items_zh,answer,hint_en,hint_zh,explain_en,explain_zh
wantlet-11,wantlet,sort,,,Limited or unlimited?,「limited」定「unlimited」？,limited|unlimited,有限|無限,hours in a day|human wants|area of salt pans|fishermen's energy,一日嘅時間|人嘅 wants|鹽田面積|漁民嘅體力,1|2|1|1,Which one will never be fully satisfied?,邊一樣永遠唔會有滿足晒嘅一日？,Only wants are unlimited; everything else is a limited resource.,只有 wants 係無限，其他全部係有限資源。
wantlet-12,wantlet,fill,,,"Wants are ____, but resources are ____.",Wants 係 ①，但資源係 ②。,unlimited|limited|free|equal,無限|有限|免費|相等,,,unlimited|limited,These are the two ingredients of scarcity.,呢句就係 scarcity 嘅兩個成分。,Unlimited wants plus limited resources together create scarcity.,Wants 無限、資源有限，兩者一齊先產生 scarcity。
wantlet-S1,wantlet,mc,scen,,"(Fictional) Kelly, an office worker in Mong Kok, gets a pay rise and buys the new phone she wanted. A month later she wants a bigger flat. This best shows that:",（虛構）喺旺角返工嘅 Kelly 加咗人工，買咗佢一直想要嘅新手機。一個月之後，佢又想搬去大啲嘅單位。呢件事最能說明：,human wants are unlimited|Kelly's resources are unlimited|a pay rise removes all wants|phones are free goods,人嘅 wants 係無限嘅|Kelly 嘅 resources 係無限嘅|加人工會令所有 wants 消失|手機係 free good,,,A,"After one want was satisfied, what happened next?",一個 want 被滿足咗之後，跟住發生咗咩事？,"When one want is satisfied, a new want appears, so wants are unlimited even when income rises.",滿足咗一個 want，又會出現新嘅 want，所以就算收入增加，wants 都係無限嘅。
wantlet-S2,wantlet,sort,scen,,(Fictional) The Wong family runs a small restaurant in Tai O. Sort each card:,（虛構）黃家喺大澳開咗間細餐廳。將卡片分類：,wants|limited resources,wants|limited resources,"wanting to open a second branch in Tung Chung|the cook's working hours|the shop space in their stilt house|wanting air-conditioning for customers|their savings of $50,000","想喺東涌開分店|廚師嘅工作時間|棚屋入面嘅舖位|想為客人裝冷氣|佢哋 $50,000 嘅積蓄",1|2|2|1|2,"Is it something they desire, or something they can use to produce?",係佢哋「想要」嘅嘢，定係可以用嚟生產嘅嘢？,"Wants are desires; time, space and money are limited resources used to satisfy them.",Wants 係想要嘅嘢；時間、空間同金錢係用嚟滿足 wants 嘅 limited resources。
wantlet-S3,wantlet,fill,scen,,"(Fictional) The Chan family in Sha Tin earns $10,000 a month. They want to spend $6,000 on rent, $3,000 on food and $2,500 on tutoring. Their wants exceed their income by $____, so their money is ____.","（虛構）住沙田嘅陳家每月收入 $10,000。佢哋想用 $6,000 交租、$3,000 買餸、$2,500 補習。佢哋嘅 wants 比收入多出 $①，所以佢哋嘅錢係 ②。",1500|500|limited|unlimited,1500|500|limited|unlimited,,,1500|limited,"Add up what they want to spend, then compare with income.",將佢哋想使嘅錢加埋，再同收入比較吓？,"6,000 + 3,000 + 2,500 = 11,500, which is 1,500 more than income: resources (money) are limited relative to wants.","6,000 + 3,000 + 2,500 = 11,500，比收入多 1,500：相對 wants 嚟講，resources（錢）係有限嘅。"
wantlet-S4,wantlet,tf,scen,,"(Fictional) Mr Lau, a banker in Central, earns $5 million a year. He therefore faces no limited resources.",（虛構）喺中環做銀行嘅劉生每年賺 $500 萬，所以佢冇任何 limited resources。,,,,,F,How many hours does Mr Lau have in a day?,劉生每日有幾多個鐘？,"Even a rich person has limited resources such as time (24 hours a day), so wants still exceed resources.",有錢人都有 limited resources，例如時間（每日 24 小時），所以 wants 仍然多過 resources。
wantlet-S5,wantlet,mc,scen,,"(Fictional) A Tung Chung secondary school has one hall. The drama club, the basketball team and the choir all want to use it every Friday afternoon. The basic problem here is that:",（虛構）東涌一間中學得一個禮堂。戲劇學會、籃球隊同合唱團都想每個禮拜五下晝用。呢度嘅基本問題係：,the clubs have too few wants|the hall is a limited resource but wants for it are many|the hall is a free good|the school has unlimited resources,啲學會嘅 wants 太少|禮堂係 limited resource，但想用佢嘅 wants 好多|禮堂係 free good|學校有無限 resources,,,B,Can the hall be used by all three clubs at the same time?,三個學會可唔可以同一時間用個禮堂？,"The hall (and the time slot) is limited while the wants to use it are many, so not all wants can be satisfied.",禮堂（同時段）有限，但想用嘅 wants 好多，所以唔可以滿足晒所有 wants。
scarcroaker-01,scarcroaker,tf,,,Scarcity means that the quantity of a resource is very small.,Scarcity 即係資源數量好少。,,,,,F,Can a large amount of resources still be insufficient for unlimited wants?,資源好多，會唔會都唔夠滿足無限 wants？,Scarcity is relative: resources are insufficient to satisfy unlimited wants. Plentiful resources can still be scarce.,Scarcity 係相對嘅：資源唔夠滿足無限 wants。資源多都可以 scarce。
scarcroaker-02,scarcroaker,tf,,,Rich societies also face scarcity.,富裕社會都有 scarcity。,,,,,T,Do the wants of a rich society ever end?,富裕社會嘅 wants 會唔會有盡頭？,Every society has unlimited wants.,任何社會嘅 wants 都無限。
scarcroaker-03,scarcroaker,mc,,,"Tai O's yellow croaker catch was 10,920 piculs in 1954 and fell to 402 piculs in 1958. Which statement is most accurate?","大澳黃花魚漁獲 1954 年係 10,920 擔，1958 年跌到 402 擔。邊句最準確？","Scarcity only appeared in 1958|There were many fish in 1954, so there was no scarcity|Both years had scarcity; in 1958 resources were even less able to satisfy wants|Scarcity has nothing to do with the catch",scarcity 只係 1958 年先出現|1954 年魚多，所以冇 scarcity|兩年都有 scarcity，1958 年資源更加唔夠滿足 wants|scarcity 同漁獲無關,,,C,"In 1954, were there enough fish to satisfy everyone's unlimited wants?",1954 年魚多，夠唔夠滿足所有人無限嘅 wants？,"Even with many fish, wants are unlimited, so both years had scarcity. Figures: Tai O Heritage Hotel, 'History of Tai O'.",就算魚多，wants 都無限，所以兩年都有 scarcity。數字來源：大澳文物酒店「大澳往昔」。
scarcroaker-04,scarcroaker,mc,,,Scarcity directly leads to:,Scarcity 會直接導致：,choice|free goods|unlimited resources|no opportunity cost,選擇|免費物品|無限資源|冇機會成本,,,A,"If resources are not enough, what must you do?",資源唔夠用，你要做啲咩？,With insufficient resources we must choose. Scarcity also leads to competition (Ch.2).,資源唔夠，就要揀。Scarcity 亦導致 competition（Ch.2）。
scarcroaker-05,scarcroaker,fill,,,Scarcity arises when ____ resources are ____ to satisfy unlimited human wants.,當 ① 嘅資源 ② 滿足無限嘅人類 wants，就出現 scarcity。,limited|insufficient|sufficient|unlimited,有限|不足以|足以|無限,,,limited|insufficient,Resources are limited – are they enough or not?,資源有限，夠定唔夠？,This is the textbook glossary definition.,課本 glossary 定義。
scarcroaker-06,scarcroaker,fill,,,"Because of scarcity, people must make a ____; after that there is always an ____.",因為 scarcity，人要做 ①；做咗之後就一定有 ②。,choice|opportunity cost|interest|discrimination,選擇|機會成本|利息|歧視,,,choice|opportunity cost,Not enough → must choose → choosing means giving something up.,資源唔夠 → 要揀 → 揀咗就要放棄。,Scarcity → choice → opportunity cost.,Scarcity → choice → opportunity cost。
scarcroaker-07,scarcroaker,order,,,Put in order:,排次序：,,,unlimited wants + limited resources|scarcity|choice|opportunity cost,無限 wants 加有限資源|稀少性|選擇|機會成本,,Go from cause to result.,由原因排到結果。,Each step is the result of the one before.,每一步都係上一步嘅結果。
scarcroaker-08,scarcroaker,mc,,,Which situation does NOT involve scarcity?,邊個情況唔涉及 scarcity？,A fisherman choosing between fishing and mending nets|Allocating supply hours during water rationing|The air you breathe freely by the sea|Using a plot of land for salt or for vegetables,漁民揀出海定補網|制水時分配供水時間|海邊隨便呼吸嘅空氣|一塊地用嚟曬鹽定種菜,,,C,Which one is available in large enough quantity for everyone?,邊一樣嘅數量夠晒所有人用？,Air is sufficient to satisfy everyone – it is a free good.,空氣數量夠滿足所有人，係 free good。
scarcroaker-09,scarcroaker,tf,,,"If something costs no money, it cannot be scarce.",如果一樣嘢唔使錢，佢就一定唔 scarce。,,,,,F,Were free masks enough for everyone who wanted them?,免費派嘅口罩，夠唔夠所有人想要嘅數量？,"Scarcity depends on whether the quantity satisfies wants, not on the price.",Scarce 與否睇數量夠唔夠滿足 wants，唔係睇收唔收錢。
scarcroaker-10,scarcroaker,mc,,,"When the yellow croaker catch collapsed in 1958, the most direct effect on Tai O fishermen was:",1958 年黃花魚漁獲大跌，對大澳漁民最直接嘅影響係：,"they had to make more trade-offs, e.g. catch other fish or change jobs|scarcity disappeared|yellow croaker became a free good|they no longer needed to choose",要作出更多取捨，例如轉捕其他魚或者轉行|scarcity 消失|黃花魚變成 free good|唔再需要做選擇,,,A,"With fewer resources, are there more or fewer hard choices?",資源更少，選擇會多咗定少咗？,"With even fewer resources, fishermen must make new choices.",資源更加唔夠，漁民要重新作出 choice。
scarcroaker-11,scarcroaker,tf,,,Scarcity is the reason economics exists.,Scarcity 係經濟學存在嘅原因。,,,,,T,"If resources were unlimited, would we need to study allocation?",如果資源無限，仲需唔需要研究點分配？,Without scarcity there would be no need to study how to allocate resources.,冇 scarcity，就唔需要研究點樣分配資源。
scarcroaker-12,scarcroaker,sort,,,Scarce or not scarce?,「scarce」定「not scarce」？,scarce|not scarce,稀少|唔稀少,yellow croaker|seawater in the ocean|salt pans|fishermen's time|air,黃花魚|大海嘅海水|鹽田|漁民嘅時間|空氣,1|2|1|1|2,Is the quantity enough to satisfy everyone's wants?,數量夠唔夠滿足所有人嘅 wants？,Seawater and air are sufficient; the rest cannot satisfy all wants.,海水同空氣數量夠晒，其餘都唔夠滿足所有 wants。
scarcroaker-S1,scarcroaker,mc,scen,,"In 1963, Hong Kong households had water supplied for only 4 hours every 4 days. This best shows that water was:",1963 年，香港家庭每 4 日先有 4 個鐘供水。呢件事最能說明當時嘅水係：,"a free good|scarce, because the quantity available could not satisfy all wants|not wanted by households|unlimited",free good|scarce，因為可用嘅數量唔夠滿足所有 wants|家庭唔想要嘅嘢|無限嘅,,,B,Was there enough water for everyone to use as much as they wanted?,當時啲水夠唔夠畀每個人想用幾多就用幾多？,A good is scarce when the quantity available is insufficient to satisfy all wants; rationing shows water was scarce.,當可用數量唔夠滿足所有 wants，嗰樣嘢就係 scarce；制水正正反映水係 scarce。
scarcroaker-S2,scarcroaker,tf,scen,,"(Fictional) The Tung Chung public library lends books free of charge, so the books are not scarce.",（虛構）東涌公共圖書館免費借書，所以啲書唔係 scarce。,,,,,F,Were resources used to produce the books? Can everyone borrow any book at any time?,啲書係咪用咗 resources 生產？係咪人人隨時都借到想借嘅書？,"Zero price does not mean not scarce: the books use resources and are not enough to satisfy all wants, so they are scarce.",免費唔等於唔 scarce：書要用 resources 生產，數量亦唔夠滿足所有 wants，所以係 scarce。
scarcroaker-S3,scarcroaker,sort,scen,,Scarce good or free good?,Scarce good 定 free good？,scarce good|free good,scarce good|free good,seats on an MTR Tung Chung line train in rush hour|fresh air on a Lantau hilltop|a Ngong Ping 360 cable car ride|a stilt house in Tai O|seawater in the open sea off Tai O,繁忙時間 MTR 東涌綫嘅座位|大嶼山山頂嘅新鮮空氣|坐 Ngong Ping 360 纜車|大澳嘅棚屋|大澳對開大海嘅海水,1|2|1|1|2,Is the quantity enough for everyone's wants without any production cost?,數量係咪夠晒滿足所有人嘅 wants，而且唔使生產成本？,A free good is sufficient to satisfy all wants with no production cost; anything else is scarce.,Free good 嘅數量足夠滿足所有 wants，亦冇生產成本；其餘都係 scarce。
scarcroaker-S4,scarcroaker,fill,scen,,"(Fictional) A Tai O dolphin-watching boat has 20 seats, but 35 tourists want to board. ____ tourists cannot get a seat, which shows ____.",（虛構）大澳一隻睇 Chinese white dolphin 嘅船有 20 個位，但有 35 個遊客想上船。有 ① 個遊客冇位，呢個反映 ②。,15|55|scarcity|a free good,15|55|scarcity|free good,,,15|scarcity,Compare the number of seats with the number of people who want them.,比較吓座位數目同想坐嘅人數？,"35 - 20 = 15. The seats are insufficient to satisfy all wants, so they are scarce.",35 - 20 = 15。座位唔夠滿足所有 wants，所以係 scarcity。
scarcroaker-S5,scarcroaker,mc,scen,,"After Typhoon Hato (2017) flooded Tai O, many shops needed repair workers at the same time. Why could not all shops be repaired at once?",Typhoon Hato（2017）令大澳水浸之後，好多舖頭同一時間要搵維修師傅。點解唔可以一次過維修晒所有舖頭？,repair workers were scarce relative to the wants for repairs|shop owners had no wants|repair work is a free good|floods make resources unlimited,相對維修嘅 wants，維修師傅係 scarce|舖頭老闆冇 wants|維修係 free good|水浸會令 resources 變成無限,,,A,Was the number of workers enough for every shop's wants?,師傅嘅數目夠唔夠滿足每間舖嘅 wants？,"Labour is a limited resource; when wants for it exceed what is available, it is scarce.",勞動力係 limited resource；當 wants 多過可用數量，就係 scarce。
choicefin-01,choicefin,tf,,,Choice is the process of deciding which wants to satisfy and which to give up.,Choice 係決定滿足邊啲 wants、放棄邊啲 wants 嘅過程。,,,,,T,"If you pick one, what happens to the other?",揀咗一樣，另一樣會點？,Glossary: ... given limited resources.,Glossary：given limited resources。
choicefin-02,choicefin,tf,,,"If resources were unlimited, people would not need to make choices.",如果資源無限，人就唔使做 choice。,,,,,T,"Without scarcity, is there any trade-off?",冇 scarcity 仲使唔使取捨？,No scarcity means no need for trade-offs.,冇 scarcity 就冇需要取捨。
choicefin-03,choicefin,mc,,,Which of these is a choice?,邊個係 choice？,A salt worker deciding to dry salt or mend nets today|Rain falling|The tide rising and falling|Yellow croaker swimming away,鹽工決定今日曬鹽定去補網|落雨|潮水漲退|黃花魚游走,,,A,Which one is a human decision?,邊一樣係人嘅決定？,Only human decisions are choices.,只有人嘅決定先係 choice。
choicefin-04,choicefin,mc,,,Why must a salt worker make choices?,點解鹽工要做 choice？,because of scarcity|because the government says so|because salt is a free good|because they like to,因為有 scarcity|因為政府規定|因為鹽係 free good|因為佢哋鍾意,,,A,Are his time and salt pans enough to do everything?,佢嘅時間同鹽田夠唔夠做晒所有嘢？,His time and salt pans are limited.,時間同鹽田有限。
choicefin-05,choicefin,fill,,,"Choice is the process of deciding which wants to ____ and which to ____ up, given limited resources.",Choice 係喺有限資源下，決定 ① 邊啲 wants、② 邊啲 wants 嘅過程。,satisfy|give|create|save,滿足|放棄|創造|儲起,,,satisfy|give,Satisfying some means giving up others.,有滿足，就有放棄。,Every choice satisfies some wants and gives up others.,有滿足就有放棄。
choicefin-06,choicefin,fill,,,"After choosing, the highest-valued option given up is called the ____.",揀咗之後，放棄咗嘅最高價值選項叫 ①。,opportunity cost|money cost|interest|scarcity,機會成本|金錢成本|利息|稀少性,,,opportunity cost,This is the next EconMon's concept.,呢個概念係下一隻 EconMon。,This leads to Oppcostra.,為 Oppcostra 鋪路。
choicefin-07,choicefin,sort,,,Choice or not a choice?,「係 choice」定「唔係 choice」？,a choice|not a choice,係 choice|唔係 choice,a fisherman picking when to go out|a typhoon hitting|parents choosing school or helping at sea for their child|the tide|a tourist choosing salted fish or shrimp paste|the sun shining,漁民揀出海時間|颱風吹襲|家長揀送仔女讀書定出海幫手|潮汐|遊客揀買鹹魚定蝦醬|太陽曬,1|2|1|2|1|2,Which are human decisions and which are nature?,邊啲係人決定，邊啲係大自然？,Natural events are not human decisions.,自然現象唔係人嘅決定。
choicefin-08,choicefin,tf,,,"After choosing something, the options given up have zero value.",揀咗一樣嘢之後，放棄咗嘅選擇價值係零。,,,,,F,"If the other options had no value, would choosing be hard?",如果放棄咗嘅選擇冇價值，仲會唔會難揀？,The options given up have value – that is why opportunity cost exists.,放棄咗嘅選擇有價值，所以先有 opportunity cost。
choicefin-09,choicefin,mc,,,"As Tai O's salt industry declined in the 1950s–60s, salt workers considered changing jobs. This decision best shows:",1950–1960 年代大澳鹽業式微，鹽工考慮轉行。呢個決定最能說明：,choice|free good|interest|barter,選擇|免費物品|利息|以物易物,,,A,What must workers do among several possible paths?,鹽工要喺幾個出路之間做咩？,Deciding which job to do with limited resources is a choice.,喺有限資源下決定做邊行，就係 choice。
choicefin-10,choicefin,tf,,,Every choice involves an opportunity cost.,每一個 choice 背後都有 opportunity cost。,,,,,T,"When you choose one thing, do you give up something else?",揀咗一樣，有冇放棄其他？,"Having a choice means giving something up, so there is always an opportunity cost.",有得揀就一定有放棄，所以一定有 opportunity cost。
choicefin-11,choicefin,fill,,,Choice arises because of ____.,Choice 嘅出現係因為 ①。,scarcity|interest|money|tradition,稀少性|利息|金錢|傳統,,,scarcity,Why can't we have everything?,點解唔可以樣樣都要？,"Resources are insufficient, so we must choose.",資源唔夠，先要揀。
choicefin-12,choicefin,order,,,Put the steps of making a decision in order:,排出做決定嘅次序：,,,realise resources are not enough|list possible options|compare the value of each option|make the choice,發現資源唔夠|列出可行選項|比較每個選項嘅價值|作出選擇,,"First the problem, then the options, then the choice.",先有問題，再有選項，最後先揀。,Choice starts from scarcity and ends with choosing one and giving up the rest.,Choice 由 scarcity 開始，最後揀一個、放棄其他。
choicefin-S1,choicefin,mc,scen,,"(Fictional) After the MTR Tung Chung line opened in 1998, Ah Keung, a young Tai O fisherman, had to decide whether to work in Tung Chung or keep fishing. Why must he choose?",（虛構）1998 年 MTR 東涌綫開通之後，大澳年輕漁民阿強要決定去東涌返工定繼續打魚。點解佢一定要揀？,because his time is limited and he cannot do both full-time|because the MTR forced him to|because fishing is a free good|because his wants are limited,因為佢時間有限，唔可以兩份都做全職|因為 MTR 逼佢|因為打魚係 free good|因為佢嘅 wants 有限,,,A,Can one person work two full-time jobs at once?,一個人可唔可以同時做兩份全職？,"Choice arises from scarcity: his limited time must be allocated to one use, giving up the other.",Choice 源於 scarcity：佢有限嘅時間只可以用喺一個用途，要放棄另一個。
choicefin-S2,choicefin,mc,scen,,(Fictional) The Hong Kong government has one site in Tung Chung and must decide whether to build public housing or a sports centre on it. This shows that:,（虛構）香港政府喺東涌有一幅地，要決定起公屋定體育館。呢件事說明：,only poor people need to make choices|governments also face scarcity and must make choices|land is a free good|governments have unlimited resources,只有窮人先要做選擇|政府都面對 scarcity，要做選擇|土地係 free good|政府有無限 resources,,,B,Can the same piece of land be used for both at once?,同一幅地可唔可以同時用嚟起兩樣嘢？,"All economic units, including governments, have limited resources, so they must choose.",所有經濟單位，包括政府，都有 limited resources，所以要做選擇。
choicefin-S3,choicefin,sort,scen,,Who is making the choice?,邊個喺度做選擇？,individual or household|firm|government,個人或家庭|firm|政府,(Fictional) a Tai O student chooses between tutoring and a part-time job|(Fictional) a Tai O shrimp paste factory chooses between hiring a worker or buying a machine|(Fictional) the government chooses to spend money on a hospital or a new road|(Fictional) a family chooses to rent a flat in Tung Chung or in Sha Tin|(Fictional) a ferry company chooses which route to run,（虛構）大澳學生揀補習定做兼職|（虛構）大澳蝦醬廠揀請人定買機器|（虛構）政府揀用錢起醫院定起新路|（虛構）一家人揀租東涌定沙田嘅單位|（虛構）渡輪公司揀行邊條航線,1|2|3|1|2,"Is the decision-maker a person, a business or the government?",做決定嘅係一個人、一間公司，定係政府？,"Every economic unit faces scarcity, so individuals, firms and governments all make choices.",每個經濟單位都面對 scarcity，所以個人、firm 同政府都要做選擇。
choicefin-S4,choicefin,fill,scen,,"(Fictional) Mei has $200. A ferry trip costs $50 and a concert ticket costs $180. Together they cost $____, more than she has, so she must make a ____.",（虛構）阿美有 $200。坐一程船要 $50，一張演唱會飛要 $180。兩樣加埋要 $①，多過佢有嘅錢，所以佢要做一個 ②。,230|130|choice|profit,230|130|choice|profit,,,230|choice,Add the two prices and compare with $200.,將兩個價錢加埋，再同 $200 比較吓？,"50 + 180 = 230 > 200. With limited money she cannot have both, so she must choose.",50 + 180 = 230 > 200。錢有限，唔可以兩樣都要，所以要做 choice。
choicefin-S5,choicefin,tf,scen,,"(Fictional) Ah Kit's parents chose his secondary school for him. Since Ah Kit did not decide himself, no choice was made.",（虛構）阿傑嘅父母幫佢揀咗中學。因為唔係阿傑自己決定，所以冇做過任何 choice。,,,,,F,Was one school picked and the others given up? Who decided?,係咪揀咗一間、放棄咗其他？邊個做決定？,"A choice was still made, by the household: one option was selected and the others were given up.",仍然有做 choice，只係由家庭做：揀咗一個選項，放棄咗其他。
oppcostra-01,oppcostra,tf,,,Opportunity cost is the total value of all the options given up.,Opportunity cost 係所有被放棄選擇嘅價值總和。,,,,,F,Could you do all the options you gave up at the same time?,你可唔可以同時做晒所有放棄咗嘅嘢？,Only the highest-valued option forgone counts – you could never do all of them at once.,只計 highest-valued option forgone。你唔可能同時做晒所有放棄咗嘅嘢。
oppcostra-02,oppcostra,tf,,,Opportunity cost does not have to be money.,Opportunity cost 可以唔係金錢。,,,,,T,Do time and enjoyment have value?,時間、享受有冇價值？,"Time, enjoyment and opportunities all have value.",時間、享受、機會都有價值。
oppcostra-03,oppcostra,mc,,,"(Fictional) After school Ming can: help dry salt (worth $30), carry cargo at the pier ($50), or study (he values it at $40). He chooses to study. His opportunity cost is:",（虛構）阿明放學可以：幫屋企曬鹽（值 $30）、去碼頭搬貨（$50）、溫書（佢覺得值 $40）。佢揀咗溫書，opportunity cost 係：,$30|$50|$80|$120,$30|$50|$80|$120,,,B,Which two did he give up? Which is higher?,佢放棄咗邊兩樣？邊樣最高？,"Of the two options given up, carrying cargo ($50) is the highest.",被放棄嘅兩個選項入面，搬貨 $50 最高。
oppcostra-04,oppcostra,mc,,,"Same situation: if Ming chooses to carry cargo, his opportunity cost is:",同一情境，如果阿明揀咗搬貨，opportunity cost 係：,$30|$40|$70|$50,$30|$40|$70|$50,,,B,Which two does he give up this time?,今次放棄咗邊兩樣？,He gives up drying salt ($30) and studying ($40); studying is higher.,放棄嘅係曬鹽 $30 同溫書 $40，最高係溫書。
oppcostra-05,oppcostra,fill,,,Opportunity cost refers to the value of the ____-valued option ____.,Opportunity cost 係指 ① 價值嘅 ② 選項嘅價值。,highest|forgone|lowest|chosen,最高|被放棄|最低|被選擇,,,highest|forgone,"Two keys: highest, and given up.",兩個關鍵：最高、放棄。,Key words: highest and forgone.,兩個關鍵詞：最高、放棄。
oppcostra-06,oppcostra,fill,,,"You chose Oppcostra and gave up Saltling and Tradiphin. If your second favourite is Tradiphin, your opportunity cost is ____.",開場揀咗 Oppcostra，放棄咗 Saltling 同 Tradiphin。如果你第二最想要 Tradiphin，你嘅 opportunity cost 係 ①。,Tradiphin|Saltling|both added together|nothing,Tradiphin|Saltling|兩隻加埋|冇,,,Tradiphin,"Among those given up, which did you want most?",放棄咗嘅入面，你最想要邊隻？,It is the highest-valued option among those given up.,放棄咗嘅選項入面價值最高嗰個。
oppcostra-07,oppcostra,mc,,,In the 1950s a Tai O salt worker decided to keep drying salt instead of working in the city. His opportunity cost is most likely:,1950 年代一個大澳鹽工決定繼續曬鹽，唔出市區打工。佢嘅 opportunity cost 最可能係：,"the money earned from drying salt|the highest-valued option he gave up, e.g. city income and other benefits|the cost of building the salt pans years ago|zero",曬鹽賺嘅錢|佢放棄嘅最高價值選擇，例如市區打工嘅收入同其他得益|當年起鹽田嘅費用|零,,,B,"Is opportunity cost what you chose, or what you gave up?",Opportunity cost 係揀咗嗰樣，定係放棄咗嗰樣？,A is the value of the chosen option; C is a historical cost.,A 係被揀選項嘅價值，C 係 historical cost。
oppcostra-08,oppcostra,sort,,,Counted in opportunity cost or not?,「計入 opportunity cost」定「唔計」？,counted|not counted,計入|唔計,"the highest-valued option forgone|the value of the chosen option|a third, lower-valued option|the salt pan building cost already paid",被放棄嘅最高價值選項|被揀選項本身嘅價值|第三個較低價值選項|已經付咗嘅鹽田建造費,1|2|2|2,Only one fits the definition.,只有一樣符合定義。,None of the other three is the highest-valued option forgone.,其餘三項都唔係「最高價值嘅放棄選項」。
